,California,Virginia,Florida,New York,New Jersey,Texas,Utah,Washington,Illinois,Colorado,Arkansas,Arizona,Nevada,Michigan,New Hampshire,Rhode Island,Pennsylvania,Tennessee,Massachusetts,the District of Columbia,Minnesota,North Carolina,Oregon,Georgia,Hawaii,West Virginia,Maryland,Maine,Idaho,Alaska,Montana,South Carolina,North Dakota,Wisconsin,Vermont,Missouri,Kansas,Connecticut,Delaware,Wyoming,Mississippi,Louisiana,Alabama,Indiana,Nebraska,Oklahoma,New Mexico,South Dakota,Kentucky,Ohio,Iowa
2019-07-01,529029.7799749492,266377.2342648803,236987.24683912643,338428.0511318508,341483.0784509327,207244.25978202923,328449.2395101803,387253.9275328621,187222.3156724054,381200.9741510467,142040.13079625645,264083.5740008731,296639.0715671046,163499.73972995087,273893.2161331857,284822.5424497259,182123.06711362756,193478.68716758688,410796.5114492834,562939.8689510997,242866.20403959075,199847.65124320006,350333.32381259144,197881.34254891958,606471.5494609437,113467.74644661213,308436.0010695332,225660.4643424032,267044.8083243551,297595.95756838244,265598.35205920733,184714.9630944626,212842.10886784366,197275.23046347173,252116.37173713892,161003.77359621154,147536.93762259683,249085.99852686646,262673.30534785753,244122.08188189505,133523.5883624317,173743.41113773244,152943.99424587784,153321.77425126752,173155.17228051566,133166.5283628894,191580.6711424576,201692.76567888292,133832.5271636676,146899.63480612266,154680.86305910596
2019-08-01,530713.0994442605,266984.65426875645,237688.9221635977,339599.84781545895,341923.32730171265,207840.48074484142,329557.28497474757,388513.4613106758,187122.84555821444,381974.34801398753,142444.5581952289,265271.4585893432,297151.7565884237,163642.93413354518,275293.9272147676,285349.31249667756,182829.17609930807,194603.54581847158,410980.2730973265,562977.7260319055,243328.53405437781,200638.93379198317,350918.2794782118,198669.77117433283,606499.9395610496,113502.15874179895,309024.03641044284,226817.5373360132,269239.7271142901,298621.71578402043,267095.14484291157,185442.32099165616,213532.27745981803,198026.65415933644,252865.30494334825,161325.33015746172,148116.58510827008,249350.93668502747,262662.4633024452,245740.93141396964,133859.43393624257,174050.30278712217,153700.75013794258,154027.68569538018,173831.65604135,133686.67038260048,192261.19706147522,202267.15038854125,134263.95192429065,147366.32662879216,155000.52621458928
2019-09-01,533286.1158913359,267681.6482658975,238386.4728202982,340240.42366183666,342139.93041386054,208491.98470274147,330988.9211657834,389715.6196576206,186867.219796602,382775.9999914597,142475.1966642833,266669.49079724186,297456.6499990989,163672.00116750365,276357.6646093117,285933.1122009596,183470.0392727471,195604.37605620958,410907.3833238143,563248.325251245,243590.66447464944,201396.73279752908,351422.3946639001,199399.12821198264,606307.37424008,113368.05581139332,309469.26367505343,227839.4585865786,271290.6257316833,299660.5019141973,268353.94829806976,185988.32724925783,213785.20526390182,198672.94727352052,253615.88537472778,161455.24411832265,148605.03417932865,249422.93726479224,262479.15669846005,246925.73070293455,133831.91641136003,174188.16114843465,154283.54503032885,154665.596571715,174445.78360895926,133963.3651832722,192815.00427644697,202778.2192356876,134587.89344814885,147757.8346684435,155262.69337687097
2019-10-01,536319.1498648537,268595.2887615802,239310.85188543377,340962.7042232475,342767.3318993466,209364.1466416981,332819.4485694093,391505.8438788601,186935.9564385071,383978.36533446546,142726.32922688025,268330.7280717241,297735.0673754027,164133.55590630867,277371.88243251777,286770.5326991941,184277.5946001363,196784.06200627505,411507.7241296528,563760.983583687,244118.53197446992,202405.64765358737,352333.80747695896,200333.80720315545,606172.487814807,113374.06323883748,309962.93960274826,229064.81651695492,273695.52674995066,300766.22429868457,269514.28867500584,186694.0176986699,214193.21193272455,199414.0647226914,254545.14870827296,161929.24050699247,149318.89415530107,249649.03890086376,262280.04882492375,248213.55548314916,134022.03764609198,174313.9859759359,155037.50429574552,155385.81772358282,175274.1727499462,134462.87459177515,193504.2714455258,203681.2107359973,135142.92809579088,148293.0167337876,155949.99217812586
2019-11-01,539621.5128690713,269808.0456126038,240575.18824110608,342405.2065044221,344008.22583087644,210396.81995915633,335148.7798133181,393917.79595807684,187251.79605977904,385641.8702568505,143156.67258864347,270271.3825127152,298218.51063842984,164926.98690458143,278658.9512661975,288262.54298686725,185305.56674508986,198198.37006231712,412883.77069231117,564884.185016722,245061.6731167462,203683.89593517242,353877.0675344916,201481.82680701578,607188.0878535617,113517.75326582731,310813.6306786062,230449.98025523569,276411.9361372127,302222.7124702865,270712.1033591824,187660.82977486364,214833.78450122973,200327.27000463378,255871.04642779892,162670.53276548078,150241.29934756635,250160.48766732545,262438.5290260061,249556.88425413833,134336.953442686,174805.88869159235,156065.22268928803,156282.72533456146,176227.3574242865,135325.86172338467,194551.92989367348,204797.20879073822,135909.1085026881,149086.75849797504,156726.54765877707
2019-12-01,543044.0284270431,271297.64290770655,242133.37811909834,344239.94020000723,345641.79767292616,211521.2609511523,337902.03042692883,396982.2327869223,187932.69363329164,387616.5886465232,143846.3726819871,272299.76403761184,299021.31070952007,165740.13930256027,280049.68275844364,289891.3866641266,186420.41452183403,199731.688944226,414485.5380449896,566352.9445471752,246344.22219527746,205091.54575482523,355950.60608600714,202897.00839023935,608746.5462619978,113748.7287480883,311989.04020796646,231834.83465827248,279472.7356081586,303650.80984639755,272091.3890829813,188810.6785089207,215645.2544350468,201369.3271224537,257505.03739953708,163643.79875849214,151291.04748476448,250989.3970701984,263194.48410222115,251260.9004300665,134856.11455981567,175767.4358392066,157385.76733913436,157324.62284462634,177269.32041232518,136557.89704771052,195949.22962733245,206073.87463803464,136814.91755838587,149958.9281338858,157504.99598478398
2020-01-01,545839.3879233204,272913.6319388535,244021.18783017682,346501.6054881862,347731.8712188119,212662.8427081574,340808.326431074,400365.30734405806,188892.00705433206,389831.35881213617,144284.36835401904,274753.0130031035,300539.08556334634,166632.96587435776,281643.3574654772,292184.9892469185,187521.1540347951,201443.13095866048,416540.4657171624,568917.8691032164,247878.1891491251,206405.24736227622,358693.06795904133,204430.98330479456,611069.6749337829,113807.34163501351,313480.0899211864,233299.56698003158,282608.56162439525,304867.9781195442,273922.3266933076,190039.4923621238,215977.50804599596,202496.50541765013,258943.82143307946,164617.04730199638,152292.41134828408,252108.43176148328,264332.0556098222,252466.51988627514,135008.83746335513,177118.8817678576,158614.70428897368,158485.24306882275,178237.49898366808,138001.74574454804,197403.08576821254,207034.25007261755,137742.75321442273,150934.1274937959,157797.98711022618
2020-02-01,548087.4199942745,274478.1057546435,245799.75256833225,348225.8371566509,349741.4312093609,213767.2554872041,343914.22544733505,404069.08571934287,190009.6435034986,392298.6189235172,144830.54206294302,277436.566854649,302222.9819392294,167771.39854366006,283292.60998737067,294544.70806750335,188674.8057292936,202997.89904736774,418870.6545080983,572440.8367270031,249584.7078215928,207688.60705145702,361483.5621654797,205959.28620153,613502.3282347397,114265.18803315103,315153.2972825822,234851.95558599386,285898.3248219968,305643.52205307194,276022.6677836349,191056.05522637613,216200.58951635225,203564.16267251692,260061.5052145766,165691.37259256592,153405.3385061618,253307.53737080932,265629.85680372454,253394.7526355862,135285.81600407916,178357.95115003284,159639.49125108562,159632.2299908445,179164.63636302247,139224.79249376888,198570.2604180612,207849.76419765325,138531.70587473005,151923.61565820093,158086.75721874187
2020-03-01,550253.2933043329,275938.68215178204,247362.36152204862,349812.83039851557,352264.777659412,214844.3485938382,347205.4265518894,408209.36297497625,191102.66540470967,395138.3731536243,145594.92638533426,280481.5417573906,304094.2579307309,169157.1001549173,285353.01412679284,297172.2435510613,189912.83113733356,204507.9427665825,421785.83566145384,577144.2184682809,251451.11883521275,209122.14781088362,364417.86260767054,207407.7250221877,615863.8770316996,115062.87099329587,316905.5489357959,236936.65118960678,289503.392965036,306080.7544356555,278724.3960175136,192132.686877538,216451.91757545024,204773.39300848803,261000.89538342142,166896.20178008033,154688.19835239326,254971.03900521272,267010.54649389075,254267.05103932103,135934.85819563412,179305.83128144933,160690.45704040452,160878.7186374891,180089.39134736126,140106.3165858747,199761.11093953717,208833.77103371362,139376.7171699293,152995.9227712086,158425.70517409084
2020-04-01,552253.240895298,277163.32974402653,248312.83150254659,351130.9779693301,354704.60598435585,215620.82729570023,350291.92529253307,412336.7260613145,191890.93672013344,397841.2505011537,146698.9893264346,283235.2508274245,305407.41662530584,170460.69671427866,287328.49940450815,299398.0909826472,191270.43132551492,205780.8674992847,424330.7821402095,581777.3289616953,253118.53154822436,210502.14632721653,366704.11405454855,208555.88974668362,617731.7650565566,116097.19619283814,318465.78044104174,239098.9251963578,293091.8058817676,306136.3297424319,281195.169968842,193119.77958609848,217115.75375840868,206026.17796295942,261974.17658925545,167981.64048927065,155936.0739873191,256577.59564861012,268057.23990548,255508.55340037428,136833.67316386296,180061.51138683865,161783.7698959374,162077.77496019646,180980.4522528651,140581.94868466325,200994.9156350904,210011.50584070772,140108.6351069956,153968.53542719115,158962.00698091116
2020-05-01,552505.8339658816,277815.1416220539,248574.9551197081,352277.7997634939,356512.34004889283,215898.08632492158,352137.59232633864,414959.0467456143,191993.05119210386,399131.02498641826,147619.07356881828,285148.05742832436,305745.54192938004,171094.20151869126,288921.60544657655,300384.974973309,192093.99671168617,206685.2768280968,425853.89768229163,584423.9519595284,253981.9845110938,211414.35149556692,367707.08880181896,209117.8577672177,618000.488031855,116812.50025276588,319141.71945044654,240925.43886764834,295963.3220816831,305367.13977228786,282728.83090192406,193971.5906558443,217556.3273264732,207033.60385823736,262816.09882769315,168703.78516375108,156653.130362351,257477.97748499666,268204.5914262406,256605.1060261355,137549.22219693,180308.69339960042,162708.78230142166,162946.17372293444,181634.95706365383,140716.65855786073,202118.55965597197,211053.83962965923,140821.46704865652,154591.0563544072,159511.78505905918
2020-06-01,551309.2007568898,278230.7486129154,248706.39221560257,352897.76282813743,357205.04458263377,216064.0368688799,353148.400920266,416352.35612149286,191699.46793928472,399321.024751643,148360.93824075014,286461.432135247,305530.1975122399,171311.9976199088,290113.3275914047,300481.2357137485,192434.49766291198,207372.54486133796,426539.26834976324,584896.1829617207,254188.6120518744,212085.701973082,367769.2547930004,209480.42422934168,617158.3254770832,117106.41971794749,319262.703792196,242451.85180933835,298048.14366367203,304288.3736479722,283347.59885365097,194712.8692064076,217826.27565842902,207711.69570202354,263408.49140960973,169099.37201396844,157095.90996777336,257631.22269734877,268033.5159089605,257453.89764936548,137808.62140146297,180215.75491481033,163494.34087839292,163464.9097728103,182214.80743183263,140866.62867170872,203224.87839742136,211777.73607933978,141463.08907489973,155026.29875689198,159982.77502443164
