Year,Month,Day,CPI,ZHVI,State
2002,01,11,181.3,185086.56103024448,Maryland
2002,01,11,181.3,138072.19814354173,Maine
2002,01,11,181.3,129501.48347206494,Idaho
2002,01,11,181.3,168574.45086840435,Alaska
2002,01,11,181.3,121860.4562625283,South Carolina
2002,01,11,181.3,133571.9983603865,Wisconsin
2002,01,11,181.3,137937.31602574306,Vermont
2002,01,11,181.3,112750.20790148256,Missouri
2002,01,11,181.3,96755.8302720425,Kansas
2002,01,11,181.3,204549.7042500441,Connecticut
2002,01,11,181.3,170329.71390176838,Delaware
2002,01,11,181.3,140704.04028379123,Wyoming
2002,01,11,181.3,92277.97572882968,Mississippi
2002,01,11,181.3,113937.02961731044,Louisiana
2002,01,11,181.3,105349.78916410355,Alabama
2002,01,11,181.3,102024.55560793693,Indiana
2002,01,11,181.3,109845.71494723253,Nebraska
2002,01,11,181.3,88956.09507957655,Oklahoma
2002,01,11,181.3,132350.1588589459,New Mexico
2002,01,11,181.3,110786.8842621262,South Dakota
2002,01,11,181.3,90912.5717272492,Kentucky
2002,01,11,181.3,113599.52938284528,Ohio
2002,01,11,181.3,99323.02763577925,Iowa
2002,01,12,180.9,269894.89865914494,California
2002,01,12,180.9,154060.37978846577,Virginia
2002,01,12,180.9,134839.66632975198,Florida
2002,01,12,180.9,192265.80869379189,New York
2002,01,12,180.9,229501.9552672419,New Jersey
2002,01,12,180.9,116626.85614961835,Texas
2002,01,12,180.9,174464.56931905728,Utah
2002,01,12,180.9,194449.7722964113,Washington
2002,01,12,180.9,152987.96137314802,Illinois
2002,01,12,180.9,214693.12091535548,Colorado
2002,01,12,180.9,93481.88649683598,Arkansas
2002,01,12,180.9,154433.19844410752,Arizona
2002,01,12,180.9,177944.88136813266,Nevada
2002,01,12,180.9,131110.2019393973,Michigan
2002,01,12,180.9,184947.5280654362,New Hampshire
2002,01,12,180.9,186462.5346042504,Rhode Island
2002,01,12,180.9,113589.83489822708,Pennsylvania
2002,01,12,180.9,116054.64264086516,Tennessee
2002,01,12,180.9,277531.6990811333,Massachusetts
2002,01,12,180.9,224076.4138639417,the District of Columbia
2002,01,12,180.9,165032.05159879234,Minnesota
2002,01,12,180.9,136894.41152543225,North Carolina
2002,01,12,180.9,166102.73952965267,Oregon
2002,01,12,180.9,142458.47989977404,Georgia
2002,01,12,180.9,235381.41805310408,Hawaii
2002,01,12,180.9,78974.97424020332,West Virginia
2002,01,12,180.9,186931.5017719964,Maryland
2002,01,12,180.9,139270.50779065271,Maine
2002,01,12,180.9,129664.7601102016,Idaho
2002,01,12,180.9,169172.97021589222,Alaska
2002,01,12,180.9,122181.1899669663,South Carolina
2002,01,12,180.9,134224.34272611936,Wisconsin
2002,01,12,180.9,138762.46316608533,Vermont
2002,01,12,180.9,113346.86557559537,Missouri
2002,01,12,180.9,97300.00921751064,Kansas
2002,01,12,180.9,206910.37511999588,Connecticut
2002,01,12,180.9,171543.6205293182,Delaware
2002,01,12,180.9,140924.41560784783,Wyoming
2002,01,12,180.9,92564.45628553834,Mississippi
2002,01,12,180.9,114413.14219708476,Louisiana
2002,01,12,180.9,105622.96383735554,Alabama
2002,01,12,180.9,102294.57436550518,Indiana
2002,01,12,180.9,110210.55225848588,Nebraska
2002,01,12,180.9,89208.86946446214,Oklahoma
2002,01,12,180.9,132660.75670240656,New Mexico
2002,01,12,180.9,110904.58783010083,South Dakota
2002,01,12,180.9,91144.02147318848,Kentucky
2002,01,12,180.9,113961.40871147836,Ohio
2002,01,12,180.9,99736.35460835382,Iowa
2003,01,01,181.7,272969.90766885964,California
2003,01,01,181.7,155116.48360423782,Virginia
2003,01,01,181.7,136016.81382477275,Florida
2003,01,01,181.7,193888.4691214644,New York
2003,01,01,181.7,232305.36224476385,New Jersey
2003,01,01,181.7,116848.3560968653,Texas
2003,01,01,181.7,174300.46116524318,Utah
2003,01,01,181.7,194970.31204846865,Washington
2003,01,01,181.7,153649.74223595392,Illinois
2003,01,01,181.7,214782.8677609493,Colorado
2003,01,01,181.7,93727.53340404668,Arkansas
2003,01,01,181.7,155089.1261626661,Arizona
2003,01,01,181.7,179134.62171574612,Nevada
2003,01,01,181.7,131501.19783603042,Michigan
2003,01,01,181.7,186978.93054845007,New Hampshire
2003,01,01,181.7,188832.29886986225,Rhode Island
2003,01,01,181.7,114235.18311645369,Pennsylvania
2003,01,01,181.7,116244.1162992253,Tennessee
2003,01,01,181.7,280557.64519463136,Massachusetts
2003,01,01,181.7,227367.82639628707,the District of Columbia
2003,01,01,181.7,166317.7485953706,Minnesota
2003,01,01,181.7,137124.5551627427,North Carolina
2003,01,01,181.7,166722.14682973424,Oregon
2003,01,01,181.7,142758.6308808862,Georgia
2003,01,01,181.7,237409.7065317895,Hawaii
2003,01,01,181.7,79075.07213670312,West Virginia
2003,01,01,181.7,188657.67615866015,Maryland
2003,01,01,181.7,140568.0669509852,Maine
2003,01,01,181.7,129788.9107729562,Idaho
2003,01,01,181.7,169571.3901858575,Alaska
2003,01,01,181.7,122496.02379700048,South Carolina
2003,01,01,181.7,134764.20319178118,Wisconsin
2003,01,01,181.7,139591.36574580907,Vermont
2003,01,01,181.7,113862.293675697,Missouri
2003,01,01,181.7,97873.81143922175,Kansas
2003,01,01,181.7,208883.5829406204,Connecticut
2003,01,01,181.7,172816.29594999566,Delaware
2003,01,01,181.7,141258.2296164649,Wyoming
